,Text,Emotion
2940,قال تعالى الشيطان يعدكم الفقر ويأمركم بالفحشاء والله يعدكم مغفرة منه وفضلا ويقول سبحانه وما أنفقتم من شئ فهو يخلفه وهو خير الرازقين,DISGUST
2959,ما أحزن الله عبدا إلا ليسعده وما ابتلى الله عبدا إلا لأنه يحبه,SADNESS
2965,لو تشرق الدنيا على نور مبسمه ما اشتكى الصبح من حزنه ابد,SADNESS
2997,طاريك يخنق,SADNESS
3005,ثم يعوضك الله عوضا يليق بقلبك كأنه يخبرك بأن دروب الأمل لا تندثر وأن الخير سيتبعك ويصنع من أحزانك مفاجأت سعيدة,SADNESS
3018,تأكد أن الله لن يخذلك أبدا رغم عظم أخطائك وتراكم أوجاعك وصعوبة مشاكلك الله بصير بكل ما يحصل لك  الله معك دائما,SADNESS
3041,قمه عمان اردنيون يابوفهد شعبك يبي سكن حيالله الملك سلمان بالاردن عاصفه الحزم المركز الاعل,SADNESS
3049,شكرا لك سعادة المستشاربالرغم انك لم تدون رأيك ولكن انت وضعت قضية للمخلصين الذين يهمهم مستقبل الاوطان لاقنابل مؤقوتهولاخلايانائمة,SURPRISE
3077,في سفرتي القصيرة انتهيت من قراءة هذا الكتاب الحزين جدا هذا الكتاب يروي أرنو جايجر قصة سنوات معاناة والده من مرض,SADNESS
3142,الحسايف والعذر للي وراه مقفي لاتداوي جرح قلب ولاتسمن ناحل كنها قبلة وداع الحــي لـ المتوفي لا تخفف حزن حي ولا ترد الراحل,SADNESS
3180,الصن فان خال قد يعود للتدريب ويدرب هولندا للمرة الثالثة ليحل محل داني بليند المقال,SURPRISE
3224,لو عطيت قلم ماذا تكتب الأحزآن سقم القلوب الأمآم ـلــي عليه السلآم,SADNESS
3270,يقول حبيبتي إن طواها الحزن ماتشكي لغيري تجي تبكي على صدري ولو إني مزعلها,SADNESS
3371,المدهال ابراهيم شغال اهات حزينه,SADNESS
3376,تأكد ان الله لن يخذلك ابدا  رغم عظم اخطائك وتراكم اوجاعك وصعوبة مشاكلك  الله بصير بكل مايحصل لك  الله معك دائما,SADNESS
3479,ستواجه صنفا لا يفكر إلا بنفسه واخر يخذلك في منتصف الطريق واخر ينكر معروفا لك وكأنه لم يعرفك يوما,SADNESS
3521,لا شيء يستحق الحزن إلا ذنوب قد تحرمنا سعادة الجنه أستغفر الله وأتوب إليه,SADNESS
3537,كلام الله للمحزون سلوى  يجدد ماء أنسجة الحياة,SADNESS
3542,هههههه بزران هذوله يارجل من قبل التعليق هذا وهم يغلطون لكن ما ارد على احد الكبير كبير مهما تم الجرذ يكبر مايوصل مستوى العين,DISGUST
3554,ياوجودي وجد من فارقه محزم ظهر انحنى راسه وحزنه طوى عمره طوي يخفي العبره ودمعه من عيونه ظهر فاقد له درع جنب وإبن عم وخوي,SADNESS
3564,فيهه مبادلء عندهه مكان ويبي يقابل وجاد من الاحساء فيسي رجوليء اسمر جسمي يهبل وطيزي ناععمء,SURPRISE
3666,عرفت ان شركة ابل يلعبون لعب بالسياسه من يوم ما قررو ينزلون الايفون الاحمر ويغثوني,DISGUST
3683,لعنبو رجال ماستر بنت وحفظ سرها ولعنبو من يعده في صفوف الرجوله أنشششهد,ANGER
3719,عيونك تغفر كل زلاتك عيونك تهزمني كل مانويت أقسى,SADNESS
3729,ازق لحظه,DISGUST
3760,حلفت ما تقسى وقسيت,SADNESS
3765,قلبي يتمنـى ودمعي حزين ولـكل منهم مطلبه,SADNESS
3779,ㅤㅤ لاعاد تسال وش إللي فاقده يوم اجيك خلص معاي الحزن عندك حزن ثاني,SADNESS
3826,أنني أشكر الله على السعاده والحزن لانك عندما لا تكون حزينا فأنك لا تعرف كيف أن للسعاده قيمه أحمد ديدات,SADNESS
3842,عشان جذي ماحب اخلص دوام من وقت و ارجع البيت هالحزه و اقعد متملله,SADNESS
3847,فأما اليتيم فلا تقهر,SADNESS
3885,متضايقة ابيه,SADNESS
4005,ماني سعيد ولا حزين من الفراق و تراك مثلي لاحزين ولا سعيد,SADNESS
4011,جرحوني يوم قالوا لو يحبك ماترك عينك حزينه,SADNESS
4051,اللهم أفرح قلوبنا واغسل أحزاننا وهمومنا  واغفر ذنوبنا وخطايانا واشف مرضاناوارحم موتانا إنك على كل شيء قدير القصيم السعودية البكيرية,SADNESS
4067,يارب إنه أغلى ما أملك يؤلمني ألمه ويبكيني حزنه اللهم اشفي جدي من كل تعب شفاء لا يغادر سقما,SADNESS
4093,قال سامح زمانك و الحزن خبه قلت و منهو يعوضني مخاسيري  و شلون اسامح زماني و الي أحبه خذاه غيري و انا أولى فيه من غيري,SADNESS
4241,الأب أرقى شخص في الحب وأجمل حبيب ينحب,JOY
4257,ماشفت من الفلوس الا كل خير انتوا والله الي وصخ دنيا,DISGUST
4281,الانسان الهالك يتخبط بأوهامه يمينا وشمالا ولن يرى النور الذي صنعه له الاغبياء من الفحم أم الحيوانات,ANGER
4312,الحق على عبد الباقي دولار لما كان يراهن على القاعده  حزني على الي يشوفه مصداقيه ويصدق ادلته وكلامه وتحاليله,SADNESS
4335,ㅤㅤ هو حزن واحد مرني في حياتي  خلا مشاوير الفرح كلها أحزان,SADNESS
4366,كلامك مايحتاج له تصحيح لان كلامك مايحتاج ينقال من الاساس عشان كذا تافه وجهة نظر يعني ما اتوقع فيه غبي مو فاهم معناها,ANGER
4374,مؤسف ان يكون بينا كل هالبعد رغم قرب المسافه  حزينة ان هالأيام المعدودة معاك تمضي و حنا كذا,SADNESS
4497,وقف البركة بمكه سيأتيك رزق الله من حيث لا تحتسب في الأوقات التي تظن فيها أن الأبواب كلها مغلقة إلا بابه جل وعلا فلاتحزن,SADNESS
4528,وقف البركة بمكه لاتيأس فصنع الله عجيب وفرجه قريب ولأن تكون في شدة تتوقع بعدها رخاء أحب من أن تكون في رخاء تقع بعده شدة فأقدار الله غالبة,FEAR
4573,و سولف معك عن حزني و احس إنك تدري به,SADNESS
4611,يصلح لليونايتد وصخرة مع بيلي الايفواري,DISGUST
4657,اكثر عبارتان مريحتان ما ابتلى الله عبدا إلا لأنه يحبه وما أحزن الله عبدا إلا ليسعده,SADNESS
4698,سعوديه معززه مكرمه في وطني الحمد الله بس في ناس متخلفين يبغو يصيعو,ANGER
4719,اللهم لا سهل إلا ما جعلته سهلا وأنت تجعل الحزن إذا شئت سهلا,SADNESS
4749,انا عدو لحزنك صاحب أفراحك أحارب الدمع لين أشيخ البسمة,SADNESS
4757,قدر الله علي اليوم ودخلت منشن تغريدة الاخت مناهل اللي تعرضت بسبب لهجوم وحشي وقذر مساء الامس ما أخفيكم اني تضايقت حييل من الردود اللي شفتها,SADNESS
4823,ﻻتحزني ستكونين عيوني ودليلتي,SADNESS
4972,مسابقه اوقاف العجيب قول حسبنا الله ونعم الوكيل,FEAR
5008,حياتك لا تقهر أحدا لتسعد نفسك ولا تظلم شخصا لتبرر أخطائك حاول دائما بناء سعادتك بعيدا عن آلام الناس,SADNESS
5069,إذا كنت بالأمس حزينا فاليوم ستفـرح وإذا أصبحت اليوم باكيا فغدا ستضحك هكــــذا تسير سنة الحيـــاة يقلبها الله من حال إلى حال,SADNESS
5115,ياهجوس الشعر بالله ساعديني خاطري ضايق ومعك ابغا أتسلا ساعديني بالحون ولاعبيني وطربيني خلي الهم  إيتجلا نواف بن دريع,SADNESS
5125,عاصفة الحزم و اعادة الامل,SADNESS
5161,غبي دار حادث رفعه للمحكمه القاضي الغبي خليني القاضي الغبي الطانطه مفترق يبي يخدمو اليمين,ANGER
5281,والله ان الشوف ماسر عميان القلوب والبصيره تكفي الرجل كان الله هداه كم عيون تشوف لكن تعميها الذنوب والعمى ماضر بن باز يوم الله عطاه,ANGER
5287,نضعف اليوم وبكره نقوى نزعل اليوم وبكره ننبسط نتضايق اليوم وبكره نرتاح هي دنيا مو جنه,SADNESS
5332,أنا شخص ما يصدق أي شيء بسهولة  الحين الوضع صاير أوفر كل شييء صرت أشوفه كذب,SURPRISE
5494,عندي مودم أحدهما تابع والثاني تابع لـ موبايلي أتنقل بينهما وأتذكر المثل الشعبيقال طلقها وخذ اختها قال الله يلعنها ويلعن اختها,ANGER
5511,مسابقه اوقاف العجيب حسبنا الله ونعم الوكيل,FEAR
5580,نطرد سراب احلامنا والله يعين يامصعب الدنيا وماقسى جورها يمكن نحقق مانبي لو بعد حين ويمكن نموت ولا قطفنا زهورها,SADNESS
5587,والله لو البنت صاروخ ارض جو بيعايبون عشانها قهرتهم ولا مثل ما قلتي البنت حلوة,SADNESS
5668,المحزن دائما  أن الأقرباء هم غالبا أكثر من يتمنى فشلنا  لكي لا يشعروا بالنقص الاميره دمعه فرح محب,SADNESS
5681,ثق بالله وابتسم فما أحزن الله عبدا إلا ليسعده وما أبتلى الله عبدا إلا لأنه يحبه الاميره دمعه فرح محب,SADNESS
5702,قمة غريبة عجيبة قمة الرقاد والتعثر,FEAR
5707,اخ قهر,SADNESS
5739,والله ماقصرت ياكحيلان يارئيس النصر يابلسم بس ياريت التعاقد كان بالكيف وليس الكم كان صرنا من زمان نضرب الأبكم,JOY
5762,أي من المميزات في هاتفي و أعجبتك أكثر,SURPRISE
5805,عادي تخسر كل شخص  إلا الشخص اللي تلقاه بجنبك سواء كنت ضايق الاميره دمعه فرح محب,SADNESS
5900,جوالات في المدرسة وخارجها  سينتشر ضعف البصر وربما العمى  لكثرة استخدام الجوال,ANGER
5901,ودعائي ان لاتحزن عيناك فكل ما يؤذيك يؤذيني,SADNESS
5910,ماشفت راتب الهولندي ريكارد السابق ولا كان انجلطت,SURPRISE
5922,البشرى للوطن بالخلاص من هولاء الخونه وشكرا لكل رجل أمن وكل وطني شريف ساعد في الوصول إليهم الداخليه,SURPRISE
5963,اللهم حرم على قلوبنا حزن الدنيا وحرم على أجسادنا نار الآخرة,SADNESS
5989,قالو الحب اعمى قلت ليته يشوف,ANGER
6016,يارب بشرى تشبه المطر وفرحة تمحوا كل حزن  وفرج لكل صابر  وشفاء لكل مريض  ورحمة لكل ميت  واستجابة لكل دعاء  إنك على كل شيء قدير,SADNESS
6063,ربي قد ابكي سرا و اضحك جهرا  قد ادعي انني بألف خير و انت وحدك تعلم ما يحزنني فخفف عني و ارحم ضعفي و اشرح لي صدري,SADNESS
6236,و عينـك خلها بعيني  ولا تخبي ابد عني ولـو مد الحزن يده بإذن الله ابقطعـها,SADNESS
6274,إتق  قلب الحنون إذا قسى,SADNESS
6307,فرفض الملك عبدالعزيزالله يرحمه وردعليه بالحرف احنااخوان عروبه ودين بدون احزاب وسارالملك سعودعلى نهج والده,SADNESS
6311,قال تعالى  فلا يحزنك قولهم  نصيحه ربانيه ومواساة عظيمة لا تلتفت لأقوال الناس ولا تهتم بما يقولونه ورب السماء قريب منك,SADNESS
6349,صرت من حزني أنا ما أسمعك صرت اسمع بس أصوات الأنين,SADNESS
6350,انت حظ ما يجيبه غير دعوة ساجد راضيا ربي عليه و رازقه بر أمه مساء,DISGUST
6415,هدمتنيبنيت نفسي وعشت ونسيتك خلاص كسرتنيلملمت أشتاتي ولا غيرك نقص ليه راجعمن تبيعاشقك ذاك الغبي,ANGER
6426,الله يقلع ابو القهر,SADNESS
6474,يارب بشرى تشبه المطر وفرحة تمحوا كل حزن وفرج لكل صابر  وشفاء لكل مريض و رحمة لكل ميت  واستجابة لكل دعاء  إنك على كل شيء قدير,SADNESS
6492,قالو الحب اعمى قلت ليته يشوف اللي باسمه ظلمني ظلم ياهو كبير,ANGER
6509,وريتها خواتي و أمي توقعت بيضحكون علي والله أعجبتهم صدق حتى قعدوا يتكلمون عن مستقبلي بعد هالرسمة كبر رأسي يا جماعة,SURPRISE
6531,ثم يرضيك الله كأنك لم تحزن يوما,SADNESS
6535,له مبسم كأنه سما نجد لا أمطرت وفي عيونه سحر مثل الرياض بحزة مطر,SADNESS
6590,لك مبسم كأنه سما نجد لا أمطرت وفي عيونك سحر مثل الرياض بحزة مطر,SADNESS
6604,اللهم نسألك خبر شيبة المطر  وفرحة تمحي كل الحزن وفرج لكل صابر  وشفاء لكل مريض  واستجابة لكل,SADNESS
6621,لك مبسم كأنه سما الرياض لا أمطرت وفي عيونك سحر مثل الرياض بحزة مطر,SADNESS
6663,خايف تروح وغيري يخونك مابيها تتضايق عيونك,SADNESS
6668,سؤالك عني يفرح قلبي الحزين,SADNESS
6817,القمه هذي عجيبه,FEAR
6940,قهر يوم تسمع بان هناك الكثيرات لا يمانعن أن يكونن الزوجة الاولى الثانيةالثالثة والرابعة لتكوين أسرة فولاذية ولكن,SADNESS
6955,قلت في تغريدة قبل ترسل ذا المقطع انك اول مرة تشوف هطول مثل كذا في حياتك صراحة ما أحد يقدر يلومك هطول عجيب بمعنى الكلمة,FEAR
6969,الله ياخذك يا ناصر خوفتني,FEAR
6978,اترك لي رساله إنطباع  عتب  نقد  صارحني بما شئت ستبقى مجهولا,SURPRISE
7013,الله يلعن الي تصور,ANGER
7173,الابتسامة أمرها عجيب إن أهديتها لحبيب شعر بالفرح وإن أهديتها لعدو شعر بالندم وإن أهديتها لمن لاتعرف أصبحت صدقه وإن صنعتها لنفسك ازددت قوة,FEAR
7178,ياسر الشهراني الله يشفيه ويعافيه أفضل ظهير موجود بالسعودية حاليا رغم اني اتحادي لكن هالاعب ينحب,JOY
7202,لك مبسم كأنه سما الرياض لا جا ليلها وفي عيونك سحر مثل الرياض بحزة مطر,SADNESS
7213,التأثير الإيجابي للمطر والجو الجميل على النفسية عجيب,FEAR
7246,إذيقول لصاحبه لاتحزن إن الله معنا قال لاتحزن ولم يقل لاتخفلأن حزنه على محمدﷺشغله عن خوفه على نفسه من اتبع محمدﷺله نصيب من الآية حياتك,SADNESS
7305,محاولة لإنقاذ الخميس آمال النور الحزن القديم,SADNESS
7330,تسيي للسعوديات أول مرة أعرف أن السيء يسيء قناة كل مافيها بذيء في بذيء ماقدروا على العنب قالوا حاااااامض,DISGUST
7351,ههههههههههههه حزين على خيبته,SADNESS
7370,الي مسافر والي رايح يرقص والمدرب مدري وش شغله كلهم فجأه اصابات سواليففففف,SURPRISE
7379,ضايق خلقي,SADNESS
7406,احس قهرني الموضوع شوي بس باخذها من باب اضافة كوميديا للشابتر,SADNESS
7449,اللهم ابعد الحزن عن قلوبنا و ابدل احزاننا افراحا,SADNESS
7464,كنت أحكي حزن الصاحب معدي لين تيقنت تماما ان كل أذى اصاب اصحاب أصاب قلبي مرتين,SADNESS
7526,يلعن ابو جدك,ANGER
7583,الاحزاب مسابقه حلويات الكادي,SADNESS
7612,سوف ننتقم منكم سوف نحرر بلاد اليمن منكم ايها الرفضي وسوف يفتخرون شعب اليمن ب الجش السعودي القوي و ملك الحزم ملكنا سلمان,SADNESS
7661,أنت بخير وهناك من يتألم أنت بصحة جيدة وهناك مرضى لم يجدوا لهم دواء أنت سعيد وغيرك يمزقه الحزن قل الحمدلله دائما,SADNESS
7789,ذكراك دمع وباقي طيوفك أحزان ليت أقدر النسيان وتصير عابر  مشتاقه لك والشوق في بعض الأحيان مايترك دموع الأكابر تكابر,SADNESS
7936,حديث الليل يخنق ميت من الشوق,SADNESS
7940,أبوس خشمه وأنشده ويش لونه ومحبتي له ما وراها طمايع وأقدره وأشاركه في حزونه وأثره عدون لي خبيث الطبايع خلف بن هذال,SADNESS
7941,وش ذا التحديث الغبي يا تويتر,ANGER
7948,ربي كما غسلت شوارعنا بجمال مطرك  امطر على كل مريض بالشفاء  وعلى كل ميت رحل عنا بالرحمة وعلى كل مهموم بالفرج وعلى كل حزين بالفرح,SADNESS
7989,من اهداف الليبرالية الغبية تكوين مجتمع بلا دولة  كيف الله أعلم الليبراليه السعوديه مستنقع قذر,ANGER
8002,الليبرالية حزب سياسي أساسا  لكن الحمد وشلته حولوه الى حرية الجنس والشراب الليبراليه السعوديه مستنقع قذر,SADNESS
8019,لا ضواني الليل فليت له حدب الضلوع للجديد من الحزن والقديم من الجروح,SADNESS
8027,ماتت الفرحه اللي عالقه فـ اللقى إتركوني على ضف الحزن دون ليه ضاع كل الكلام اللي بقول وبقى نظرة اللي ظروفه ماقوتها يديه شعر قصيد بجاد,SADNESS
8069,سقوط الاثيوبيه موقف يحزن القلب وين الانسانيه,SADNESS
8082,سقوط الاثيوبيه فعلا شي اييب الاشمئزاز والحزن قمة في العنصرية اللا إنسانية الغباء والتفاهة باختصار كل ماهو مساوي لهالمصطلحات,SADNESS
8184,اللهم احفظ لي من تقر عيني بوجودهم ومن جعلتهم سبب سعادتي اللهم إني استودعتك اهلي ومن احب فاحفظهم لي يارب ولاتريني بأحدهم مكروها يبكيني,SADNESS
8191,اووف هاللقطة من دارك سولز  متى تجيني ال دولار بس احسك محزن وانت قاعد تكتب لي كل هالتفاصيل,SADNESS
8220,واصلو الزحف ايها الابطال ودكو معاقل الفرس وعملائهم الحوثه والعفاشين عاصفة الحزم,SADNESS
8350,اللهم ارزقهم زيارة بيتك العظيم في كل وقت بكل يسر وسهوله وارزقنا زيارة المسجد الاقصى في أقرب وقت  غزه تشتاق لمكه,SURPRISE
8370,الرياض الان لعنكم الله إنتوا ورياضكم تراكم أشغلتوا والدينا والله والله والله ي غبيره لو تمطر سماها ذهب ياكرهها م يتغير مغزوول,ANGER
8376,يلعن ام القوه,ANGER
8451,كلنا كنا خايفين من لوفي و تخريبه للخطة راح عن بالنا ان سانجي اكبر خروف,FEAR
8486,يارب بشرى تشبه المطر وفرحة تمحوا كل حزن  وفرج لكل صابر  وشفاء لكل مريض  ورحمة لكل ميت  واستجابة لكل دعاء  إنك على كل شيء قدير,SADNESS
8502,اللهم اجعلنا من أوليائك المتقين ومن عبادك الصالحين ومن جندك الغالبين ومن حزبك المفلحين ومن السابقين المقربين,SADNESS
8629,هاي اني لما ما اعرف اتفاهم ويا واحد غبي,ANGER
8653,اسعد الناس الذين يسعدوك واحزن الناس الذين يحزنوك,SADNESS
8664,شي يحزن ضاع حلمنا بسبة الاهمال,SADNESS
8677,وش هالمتخلف حارس مدرسه يهش الطالبات,ANGER
8688,لاتلومونهم فصراخ على قدر الألم عسيري مهندس عاصفة الحزم باالسعودي لعن سنسفيلهم والله ياجثثهم أشبعت كلاب اليمن ههههههه عسيري يرد علي ايران,SADNESS
8699,عسيري يرد على ايران بلاد الحرمين لا تنجب إلا الأبطال سلمان الحزم وابن نايف وشبل سلمان والجبير والعسيري وغيرهم جزاكم الله عنا كل خير,SADNESS
8718,ولاتجعلني اعتب على من لا يخشى حزني ولا تعلقني فيما يؤذي قلبي يالله,SADNESS
8723,نتألم من الداخل و نخفي الكثير من أحزاننا لنبرهن ب أننا نتحمل و نحن عكس ذلك وهم,SADNESS
8728,م اثق بمزاجي ابدا عادي جدا اكون مستانسه وفجأه اتنرفز,SURPRISE
8742,لو تحبني ماتخلي عيني حزينه وأنت أكثر شخص تحبها لو تحبني ماتنام وقلبي ينزف منك,SADNESS
8752,كان صـوته حزة النوم عاده,SADNESS
8789,صحيح ماودي اخون شعوري و أكرهك لكن ماودي إبقى طول الليالي حزين,SADNESS
8826,مشيت من غير ما أوجعك أو أردلك نفس الألم وبقيت أحبك واكرهك نصفي رضا ونصفي قهر,SADNESS
8851,أصبر فلولا الحزن لن تستشعر قيمة السعادة,SADNESS
8864,انت لو تضحك تطيب خاطر ألفين متضايق,SADNESS
8897,حبيت اقهرك شوي اقسم بالله احبك ولو الشي هذا يبي يخليك مجنون وربي لا اسويه  مع السلامه والله يحفظك ويستر عليك من وين مارحتي,SADNESS
9051,تعلق بالله ولن يخذلك با اتأكيد,SADNESS
9057,الفيديو احزني كثير اقسم بالله كل يوم الناس تطيح من عيني وماحس بالامان معهم لا انسانيه لا كرامه لا احساس,SADNESS
9099,ماحد يفهمني الا انتي بس الحمدلله شفتههاا صرت حزينه لم ما شفتها,SADNESS
