,Text,Emotion
4854,عشان الواحد يعمل ورقة في البلد دي محتاج يفني حياته و يومه كله ليها ملعون أبو الروتين يا بلد وسخة,ANGER
4961,كل سنه والامهات طيبه ماعدا امك يا تولع بجاز على خلفتها الوسخه,ANGER
5078,اخدوا مني ضنايا كفكفي دمع الخدود وازيلي صمت الحديد لاتبكي ولا تحزني فاليوم يوم جديد,SADNESS
5081,اخدوا مني ضنايا والدم الطاهر روي التراب لاتبكي ياام الشهيد فرحة ابنك فرحة عيد,SADNESS
5149,لا مش باقول كانت شبشب عشان انها كانت وحشة وكده باتكلم في نقطة ان كان ربنا كارمهم ومعاهم فلوس بس هو بخيل ابن وسخة,ANGER
5422,المادة بنت وسخه يا شقيق,ANGER
5540,كل الكلام اتقال على عشره الاندال جمعه مباركة,ANGER
5891,دا هبل بقى واحد صايع وعاطل بيحب واحدة يقف تحت بيتها ويهدد يا اما البنت تنزل ويجوزها يا اما يولعلهم فى البيت يلعن ميتين ام بلد بنت ستين وسخة,ANGER
5895,بطلوا همجية بقى دا ترتيبنا فى التخلف والجهل بقى تحت الصفر والعالم كلة بيضحك علينا كفايةجهل دا انتوا شعب ابن وسخة جاهل ولا يعرف يعنى اية دين,ANGER
5898,بتندمونى انى عرفت اشكال وسخه ذيكم,ANGER
5905,خلاص بقى بقينا عايشين فى غابة كل واحد عرص بن وسخة عاملى فيها متدين يروح يقف تحت بيت الناس ويقولهم لو بنتكم منزلتش هولع فيكم,ANGER
6147,انا بمشي بستر ربنا عصبيا و ذهنيا فترة الميدتيرم و الفاينالز ف متيجوش تقرفوا ديك أبونا,DISGUST
6319,اوسخ فكره فكر فيها البشري هي انه مش عايز الناس تشوفه و هو بيعمل كذا او تسمع عنه كذا و مش عارف ان ربنا فوقه شايفه و ساتره املاء,ANGER
6510,سما المصري أوسخ واحدة في ماسر,ANGER
6575,أوسخ أحساس فى الگون أنگ تعشق بجنون ودا حالى معاگ,ANGER
6611,انا عندى شقه زياده فى بيت الامه نينو جربتها قبل كده سيبكوا من طنطا دى,SADNESS
6688,يا ولاد الوسخة هسقط بسببكوا,ANGER
6737,ممكن اراهن ان نص الناس اللي بتنظر ان الستات فرفوشة عشان مش شايلة مسئولية والرجالة نكدية بسبب المسئولية عمرهم ماشتغلو ولا شمو ريحة المسئولية,SADNESS
6954,وسخر لي من يدعوا لي غيبا  ويتمنى الخير لقلبي  ويحبني حب صادق يا الله,ANGER
7000,شكرا يا دكتور على الإمتحان إبن الوسخة ده,ANGER
7074,تحيه لحسنى مبارك الراجل الوسخ الذى بنى للفساد دوله وجعل اكابرها قضاة فسدة هنفضح الفسدة الفساد زاد وسيطر,ANGER
7119,ينكدو علينا ويضحكو الست المصرية النكدية,SADNESS
7168,عندهم تفسير للصور ابن وسخة نبيه ماشالله,ANGER
7266,حاجة بنت ووسخة,ANGER
7309,أهو انا مخنوق جدا من تصميم مسجد العاصمة ومش عارف مين يوصله الصوت يا ريت مثلا يبقى في جمال ده وزخارفه,SADNESS
7426,المشكلة أن فعلا مبلاقيش كلام اقوله لأي حد لان عارفة أنه فعلا عمل اللي عليه فبقول متزعلش و انا مش حاساها لأنه من ح,SADNESS
7525,لولاد الوسخة,ANGER
7640,حد يجي يكمل ال بنت الوسخه دي مكاني وهديه اللي فيه النصيب والله,ANGER
7667,دنيا بنت وسخة,ANGER
7883,حدش قالك ان انت اصلا اوسخ من انجبه الأزهر متحدثا ف يوم بالدين واليوم اللي وقفت فيه مع الثوار ف التحرير بيلعنك,ANGER
7938,في سبراي بيترش علي الشوزات البيضا او اللبس عموما عشان مايتوسخش حد يعرف اسمه ايه وممكن الاقيه فين ف اسكندريه,ANGER
7962,لما ابنك يطلع خول و دلدول لمراته العيب فى تربيتك بتعيطى ليه و جايه تقرفى اهلنا,DISGUST
8007,الواحد بقى مخنوق من كل الناس طب وانا هو انت من سلالة تانية يعني,SADNESS
8044,خلاص كلها بقت كول و صحابك معتبرينك ندل و مبتسألش و إنت اللي برنس لكن لما تبقى كول عليك و ماحدش يسأل في اللي خلفوك تعيط و تقول كسم حياتي,ANGER
8067,تقريبا في واحده من صحاب كي جي و ابتدائي بعتالي فريند ريكويست  انا هعيط و الله لو طلعت هي اللي في بالي,SADNESS
8211,المشكلة أن كنت محول من كلية لعنة وداخل متأخر الكلية الوسخة ديه وبرغم ده كنت بمنى نفسى عادى وشيلت فيزيا وماث وحاسبات وكنت هعدى عادى,ANGER
8238,هنتفرج ع سيزون من شيرلوك مع ولادنا تقريبا عشان المخرج ابنوسخه او الحياه بتتآمر علينا وبتاخد الحاجات الحلوه كلها باين,ANGER
8288,اليومين اللي فاتوا كانوا اوسخ ايام عدوا عليا,ANGER
8296,بينما انت تلهو في واحد ابن وسخة بيصنع مجد,ANGER
8403,يا إبن الوسخ,ANGER
8463,انا مخنوقة ومش طايقة اتكلم مع اي حد والله,SADNESS
8567,اقولك ومتزعلش,SADNESS
8641,وإللى تحبه  متلاقيش اوسخ منه,ANGER
8652,شمتانة فيهم فشخ دايما ياخرونى على الجيم ومروحش احضر وحاجة وسخة اقسم بالله احسن يارب ما يلحقو الارض,ANGER
8677,دنيا بنت وسخة و الله,ANGER
8782,اوسخ حاجه لما يبقي عندك جامعه اصلا,ANGER
8822,الأهلي بطل أفريقيا ف الطايرة للمرة ال علي حساب أوسخ نادي تونسي النجم الساحلي بس طبعا احنا عارفين مين هما ملوك ا,ANGER
9118,الحرية للجمهور يا ولاد الوسخه,ANGER
9177,الدفعه الوسخه دي تشملنا احنا وانتوا والله,ANGER
9280,انتوا متخيلين ان مواليد بقوا سنة بردو اندر ايدج ياولاد الوسخة ههههه,ANGER
9311,ما فيش أوسخ من كده يعني,ANGER
9585,انا مش هتفاجئ خلاص اسم البرنامج لن يقفل باب مدينتنا فأنا ذاهبة لأصلي,SURPRISE
9785,أول مرة أركب ميكروباص مشغل تلفزيون  مشغل تمثيلية فيها محمد رمضان وبنت الوسخة ريهام سعيد,ANGER
9913,يتم ونشأة وبلهارسيا ووفاة مفارقات جمعت العندليب و أحمد زكي,ANGER
9933,دي اشاعات بنت وسخه,ANGER
9948,الصحاب بقوا وسخين اوى والله,ANGER
10017,المثل ر يقول ما تردش علي ولاد الوسخه,ANGER
10329,اللي هو ده انا هطلع ميتين امك يابن الوسخة,ANGER
10476,يابن الوسخه,ANGER
10489,عرصوا يا جماعه لبعض عادي بس مش ببجاحه يعني,ANGER
10667,والله تعملها الوسخة و هخليها تنول شرف ان اول شخرة تطلع مني هتبقي ليها,ANGER
10694,امين شرطة ف عهد العرص السيسى امبارح امين شرطة ف جمارك المطار قالى باللفظ ادفع الشاى علشان تخلص وبصراحة دفعت بس فضحتة ف المطار كلة,ANGER
11107,احنا كنا نضاف اوووي بس اضرينا نتوسخ عشان نتعايش معاهم,ANGER
11136,انما كوبايه عصير قصب ما شاء الله حاجه كدا تقرف,DISGUST
11147,عندما يجتمع المعرصين,ANGER
11241,بغض النظر عن بشااعة المنظر حاجهتدمع العين بس الموضوع ميستحقش ك دا عندنا ناس بتتعامل معامله اوسخ جو الاقسام وال,ANGER
11273,متشغلش دماغك بحد كلهم ولاد وسخة,ANGER
11576,كلهم في الاول حلوين و كويسين و ي الفل و بعد فترى بيبقوا ولاد وسخة,ANGER
11606,لو سمحتي ناديلي ابن الوسخه اللي حاطط المنهج دا,ANGER
11766,لو سمحتي ناديلي أبن الوسخة الي حاطط الأمتحان دا,ANGER
11998,ايه الحظ ابن الوسخه داااا,ANGER
12078,سامح عشرين مره  ومتطلبش الحاجه مرتين  والمكان اللى مبترتاحش فيه مترجعلهوش  والحسود مش صاحب  والحقود ربنا معاه  والندل متصاحبهوش,ANGER
12091,بالنسبه لاخر حاجه وهيا بتقول اني وسخ وواطي وشمال احب اقولك انك مش ف دماغي والله العظيم وكلامك بالنسبالي هوا ي,ANGER
12131,اصطباحه خره بنت وسخه,ANGER
12182,خره خره خره علي دماغ ميتين ابوكوا جامعه بنت وسخه,ANGER
12206,اللي بيعاملك ب وساخه تعامله ب اوسخ منه طالما الاحترام هيخليك ملطشه ليه استحملوا بقي,ANGER
12219,هو انتم فالحين في حاجة غير انك تحملوا مصايبكوا لغيركوا,SADNESS
12233,اه يا مادة يا وسخة يا وسخة يا وسخة انتي و الدكتور بتاعك,ANGER
12392,لو سمحتي ناديلي ابن الوسخه الي حاطط الامتحان دا,ANGER
12562,اقسم بالله اوسخ اتنين في الاهلي اجاي ومؤمن وجمال معاهم,ANGER
12582,تشكيله بنت وسخه,ANGER
12926,سمحيني ممكن مش هعيط ممكن في يوم تسمعي بكاهم ولبس كفن ابيض,SADNESS
13070,لا انا الي معلقه معايا نيك تخليص الحق و مشهد ارايا لما دبحت المعرص بتاع الريد ويدينج,ANGER
13132,يوم ابن وسخه من اوله وادي النضارة اتكسرت,ANGER
13243,اول ما ارجع من الامتحان ببقي عايز اقول ا اللاب اقفلي يبني كل التابس بتاعتة الماده الوسخه ودي وافتحلنا فيلم,ANGER
13279,تخيلوك يامؤمن النضارة متتكسرش الا لما احتاجها اوي واحس فعلا اني منغشش من غيرها يوم ابن وسخه بصحيح,ANGER
13307,انا مخنوقه معلش,SADNESS
13317,لا الحاجات الحلوة بس الحاجات اللي بتقرفنا دي مش عايزينها,DISGUST
13339,مزيل عرق مزيل عرق يا عالم يابنت الوسخة,ANGER
13444,لما تبقى مخنوق وحد يجى يقولك اضحك حرفيا,SADNESS
13602,انا بمر بفترة بنت وسخه كلها تناقضات ومشاكل ومش عارف ايه اللي بيحصلي دا وعلي مشارف اني اسيب البيت,ANGER
13903,شعورك نحيتهم غير شعورك نحيتهم يا جلنف,ANGER
14259,الواحد لما بيقرر يصفي من نحيه حد غلط في حقه بيحصل حاجات تفكره بشكله الوسخ وانه مينفعش يصفي للشخص ده,ANGER
14314,فاكرين ياجماعة الزميلة اللي دايما بتقرفني في الشغل جاني شد عضلي في رجلي وهيا اللي ساعدتني ي التغريدة دي بمثابة اعتذار ليها,DISGUST
14332,اخرس ياكلب انا رايج اجيب ابويا دلوقتى وهدوس عليكم بالجزمه ام جنيه,ANGER
14336,زمان كان لينا بيت و اصحاب طيبين يبكوا لو يوم بكيت,SADNESS
14573,وكالة أنباء أونا عاجل أونا اندلاع حريق فى محكمة مصر الجديدة والحماية المدنية تحاول السيطرة التف عبر نبض,ANGER
14802,اه يادكتور يا ابن الوسخه,ANGER
15019,إمتحان واحد يا كليه بنت وسخه,ANGER
15141,بص هفاجئك,SURPRISE
15299,انا نفسي اعرف إزاي ابويا إمبارح مقطعش إني عامل دماغ بتوسخه,ANGER
15366,اتفو عليكو حكومة وسخة وبلد بت وسخة اوساخ انعل ميتين ابوكم,ANGER
15543,كنت قاعد ع السلم ف الشركة وعامل من المصنع شايفني من ضهري افتكرني واحد تاني بيقوللي قوم يا حماراتكسف من نفسه جدا قولتله متزعلش منا حمار برضو,SADNESS
15635,طب و الي مش ثانوية عامة و مخنوق يعمل ايه,SADNESS
15929,يعني انهارده و امبارح مفيش مطشات و بكره مطشين مهمين في وقت واحد حاجه تقرف,DISGUST
16118,انا مش عارفة استحمل البيت ابن الوسخة ده والله,ANGER
16191,بيعرص لأي كلبه بلدي معديه والله,ANGER
16323,حاسس بحرارة بنت وسخة في راسي اللي هو الشمس ضاربة في الفروة علي طول من غير اي عائق و فيه حفلة شوي فوق,ANGER
16419,هوا اللي رسم الكاريكاتير مكسوف بس يقول الاسم الحقيقي للجماعة معرصون بلا حدود,ANGER
16757,ريال مدريد بتكسب بالتحكيم يا ولاد بيت الوسخه  لاعيبه ضربه جزاء بسببها جاب خلص الماتش يا اخي احاااا ع الجمااااال,ANGER
16897,اشكال بنت عرص هنقول ايه يعني,ANGER
16970,ما ترحلوا يا ولاد الوسخة بقى,ANGER
17001,ناس وسخه والله,ANGER
17019,الرطوبة بنت وسخة,ANGER
17157,مهو ادالهم ضربه جزاء وطرد خطأ ابن وسخه يعني بس والله الكلاسيكو مش كلاسيكو من غير الدون,ANGER
17181,النهاردة ذكرى اوسخ يوم في تاريخ مصرمجزرة رابعة مش فض رابعة لان اللي حصل مكنش فض ده كان مجزرة من الجيش والداخلية في حق الأبرياء,ANGER
17203,انا هعيط من السعادة لو الخطة دي اتنفذت,SADNESS
17262,النهاردة ذكري الفض ذكري اوسخ يوم شوفته في حياتي,ANGER
17351,ال بيقول ان اعتصام رابعة مكنش فيه أسلحة يبقي ابن وسخة معروفة,ANGER
17361,ربنا يتوب علينا من الاشكال الوسخة اللي احنا شغالين معاهم,ANGER
17364,اللي اتعلمته ان كل حاجة بتعدي  بتتنسي  هتفتكرها و تضحك عادي فعلا حتي لو الموضوع مش مضحك بس هتضحك ع هبلك و خيبتك بمعني أصح,JOY
17576,عندك الجرأة تقول إسم أوسخ حد عرفته ف حياتك,ANGER
17631,طلعت برج الاسد باين فا انا هخليها والله بحبك موت واحب برج الاسود عشان الكراش متزعلش,SADNESS
17669,مصر عموما أثبتتلنا انها وسخه يا جماعه بحكومتها بشعبها بكل حاجه,ANGER
17682,و الله الواحد مقفول فشخ من ماتش امبارح د  ي ابن الوسخه ي نيمار,ANGER
17707,لا كده هي هتقرف من الاغنية هخلي حد يغنيها وانا احرك شفايفي,DISGUST
17711,و ميسي لديهم لا خوف عليهم ي ابن الوسخه,ANGER
17787,أسهل حاجة ان الواحد يبقى معرص أمبارح كنت فى مشكلة كبيرة فى الشغل و معرصتش و نتيجة دة انى اتخزوقت جامد بس راضى عن نفسى الصراحة و فخور بيها,ANGER
17804,النهاردة ذكري فض رابعة من اوسخ الايام في تاريخ البلد الوسخة اللي احنا عايشين فيها,ANGER
17846,احكو وجيبو ناس تحكي عشان نعرف قد ايه البشر ولاد وسخهههه,ANGER
17907,الصحيان بدري ده تاني اوسخ حاجه بعد الصحيان بدري,ANGER
17977,ولاد الكلب لابسين خلاخيل عيال ولاد وسخة اقسم بالله,ANGER
17986,نفس الميه الوسخه ف كل حته,ANGER
18057,يا ولاد الوسخة,ANGER
18060,يارب متشمتش فينا ولاد الوسخة بكرة,ANGER
18200,منك لله ياعمرو دياب حالف تقرفني منك في كل شريط جديد اسوء اغنية سمعتها احلي عيون بتاع برج الحوت ان شاء الله حوت لما ينشهك انتي وهي يابعيد,DISGUST
18248,عمرو فضل طول عمره يغني لولاده واما اتجوز الوسخه غنالها ع طول,ANGER
18453,مشكلة المدريديين في نقاشات كتير ان المنطق ابن الوسخة البسيط بياخد منك مجهود كبير عشان يفهموه حركة التيشيرت وذكرهم لمارسيلو اقرب مثال,ANGER
18460,سلاما على اوسخ مجزرة حصلت فى التاريخ مجزرة رابعه وحسبى الله ونعم الوكيل,ANGER
18645,حد يخلصنا من الاداره الوسخه دي بقا,ANGER
18673,ادارة وسخه عندهم ماتش عودة كمان يومين ومركزين ازاي يقدموا النجم باولينهو يوم الخميس,ANGER
18692,جملة مخدتش بالي من حد مفروض ياخد باله او انت متوقع انه هيبقي واخد باله دي تاني اوسخ حاجة في العالم و فعلا مببقاش عارفة هي قصد ولا ايه,ANGER
18755,يوم انتصرت فيه مصر علي ارهابكم يا ولاد الوسخه,ANGER
18762,بس بقي هعيط,SADNESS
18960,ياعم عندكوا ساؤول نيجويز بس اصلا محدش هيرضى يروح يلعب في الدوري الاوروبي,JOY
19022,عارف الصحاب الوسخه اللى هناك دول اها يلا جمبهم يلا متنحش كدا,ANGER
19122,ما هو ابن وسخة زيك صفقات كلها سرقة وغسيل اموال والفريق يضيع,ANGER
19228,اسرائيل اندلع حريق بخزانات للوقود سولار في مصنع بميناء أسدود اليوم مما استدعى إخلاء كافة العمال وإغلاق المنطقة,ANGER
19333,هات لينك او خبر عشان اصدقك ولو جبت ايه احب ابشرك ان السيسي معتش في لوسخ منه ومرسي برقبته,ANGER
19363,التمثـال ده لو كان في مكان بعيـد عن عيون الحكومة والأهالي كانوا تجار الأثار إستخرجوه من غير مايحصله خدش واحد لإنهم عارفين قيمتـه كويس تجار وحراميـة الأثار حراميـة أه بس مش جهلاء بقيمة الشيء حكومات العالم كلـها هتلاقيه فيهم نسبة حراميـة نسبة فيهم جهلاء نسبة فيهم أغبياء لكن حكومتنا المصريـة العظيمـ بتجتمع فيها كل الصفات الوسخة في العالم من جهل وغباء وسرقة متفردين كالعادة,ANGER
19402,ولاد مرة بنت وسخة  اتفوووووو,ANGER
19446,يامحمد انزل البلد بسرعة ابوك لقى تمثال بس الحكومة بنت الوسخه دشدشت اللى جابوه,ANGER
19518,المخرج والمؤلف والممثلين اللي في الإعلان بما فيهم الكلب الحاجه دماغهم شمال بنتوسخة,ANGER
19526,الاعلانات بقت كلها إيحاءات جنسية حاجة وسخة,ANGER
19532,اعلان سافله صفحه وسخه,ANGER
19554,حاجه وسخه بت كلب,ANGER
19568,أم دي اعلانات مسفة دمها تقيل بنت وسخة,ANGER
19695,فلوسهم حرام باريس بنت الوسخة ديه,ANGER
19796,خلصنا بقي من الليله الوسخه دي,ANGER
19829,والله انتم يامصرين شكو بزاف دمكم خفيف ودوام تحبو المزح والضحك رغم كل الظروف الصعبة ولكن دوم تمزحو ربي يسعدكم يافراعنه تحياتي ليكم اخوكم احمد من مصر,JOY
19934,انامغلطتش لما قولت تربية وسخة بتشتم امى مانت كمان عندك ام جايبلها التهزيئ اكيد ولا جاى شيطانى ليك ام عليا اشتمها زى ماشتمت امى لكن مش هشتم عارف ليه علشان امى الى انت شتمتها دى ربتنى احسن من امك انا عايش بره مصر لكن مافيش بلد احسن من بلدى بلدى يعنى امى مهما كانت وحشة او فيها صفات الدنيا هتفضل امى هتفضل بلدى وعمرى ما هكرهها طبعا ده كلام يصعب على الخونة قليلى التربية والوطنية زيك انهم يستوعبوه ياخاين واتمنى انك ماترجعش البلد تانى وتموت زى الكلب بره ومحدش يعبرك تحيا مصر,ANGER
20024,مخلاص يا وحش بقي اخرس بقي,ANGER
20217,لا لسه صاحي حالا بس باربس ده فريق ابن وسخه,ANGER
20383,انا فريق ابن وسخه زي ده يشلني مشرياب,ANGER
20526,هاللو عامل ايه عامل ايه بعد ناشوفت ان التحكيم ماعرصلناش نن حقي اطنطط صح,ANGER
20572,انا هكرهك في نفسك,ANGER
20602,فرقة وسخة و الله مدرب لو عندة دم يستقيييل,ANGER
21029,هههههههه اللعيبه بنت وسخه بتكسر,ANGER
21117,هههههه اخرس خالص,ANGER
21209,دا ماتش ابن وسخة اساسا تعريض تعريض اني وير,ANGER
21274,بس فرقه ووووووسخه برضو,ANGER
21505,كل مكان وليه معرصينه لا مؤاخذه أحب,ANGER
22004,تحكيم ابن وسخة,ANGER
22399,يا ولاد الوسخة,ANGER
22410,مهزلة وقذارة تحكيمية بكل ما تحمله الكلمة من معنى ضربتين جزااء ملهمش اي اساس من الصحه اصلا نيمار بيتكعبل ف وش الولا الي واقع ع للارض ياخد بلنتي سواريز يوقع نفسو ياخد بلنتي ا ا هاند بول جوا ال علي بيكيه و ماسكيرانو ميسي بيتلمس ياخد فاول دقائق وقت بدل ضائع بجد شاابوه ع التحكيم لو كان الحكم ساعد الريال بهذه الطريقة القذرة كنتوا قلتوا الريال دافع رشوة للحكم والريال فريق حكام وقبل ما حد يتكلم افتكر بلانتي فاول جون في نفسهم يعني كل الي بمجهدكوا جونين وكمان اول جون حظ يعني جون واحد ويطلع واحيد يقولك يا جدع روح ادعي للحكم الاول بعدين ادعي لولاد الوسخة كافاني و ديماريا ع الانفرادات الي ضيعهوها و ع المدافع الي جااب الجون فنفسو,ANGER
22474,خلاي ياواله متزعلش كده تعيش وتاخد غيرها,SADNESS
22540,رجعت لقيت الحكم بيعرص,ANGER
22542,من الحكم العرص اغطس صفر ضربة جزاء,ANGER
22695,هو من نحية ديماريا فهو لعيب مش فاشل  لا خالص ابسيليوتلي ده لعيب ابن وسخة بس الف مبروك لبرشلونة ولحكم اللقاء,ANGER
22891,حرقة دم بنت وسخة,ANGER
23150,كان اوسخ واحد انهاردة ونيمار الى عمل الشغل كلو,ANGER
23177,برشلونه المجنون اقرأو للنهايه مجااااااانيييييين يالبرشا مجانيييين لجنه المراهنات توقعت نسبة تأهل باريس تسجيل هدف كفاني قال دي ماريا للجمهور اخرسوا نحن هنا فاخدها كما أخدها في البرنابيوا مبرووووووووك ياكبير أوروبا روح وقتالية وأداء هكذا عاد باريس إلى حجمه الطبيعي وعادت كلاب مدريد إلى جحورها تتبول سجل يا تاريخ ريمونتادا بإسم برشلونة لو بعد سنة لن تتكرر المعجزة حضرت برشلونة يصنع المستحيل والحلم أصبح حقيقة العودة المجنونة في مباراة سيخلدها التاريخ  إلى الأبد في الدقيقة كان البارسا بحاجه لـ اهداف في الدقيقة البارسا يفعلها و ينتصر التاريخ سيشهد ب اعظم حدث في تاريخ كرة القدم كان يا مكان كانت هناك امبراطوريه تسمي البارسا حكمت اوروبا لمدة من الزمن ومرض مرة في إحدى معاركه مع الامبراطور الفرنسي باريس فانتشرت الإشاعات التي أطلقها كارهوا الامبراطور المسمون مدريد وقالوا أن الامبراطور مات لكن ما لا يعرفونه أن الامبراطور مرض ولم يمت وعندما استعاد عافيته قامة معركة ثانية بينه وبين الفرنسيين واغتصبهم بكل دم بارد البرسا سيظل يكتب التااريخ وهو من عبث ايضا بالتاريخ مراات ومراات اين انت يالارسنال اين انت يا الميلان اين انت يا المدريد اين انت ايتها البايرن اين عماالقة اوربا والعالم هل عرفتم كيف تكون الروح هل عرفتكم كيف تكون العودة هل عرفتم فريق يعذب ويتلذذ في تعذيب الاخرين يا امتع ما رأت عيني وابهى من لعب المستديرة أقسم بالله ان برشلونة علمني الإيمان أقسم أن برشلونة علمني أن أتمسك بالفرصة حتى اخر دقيقة أقسم أنني ولدت كرويا من جديد على يد أبناء كاتالونيا وأقسم أنها مباراة تاريخية سنسردها لأطفالنا وأحفادنا إفتخروا كثيرا أنكم تابعتم هذه المعجزة الكروية رجوع سيسجل في سجلات التاريخ نعم الليله صنعنا التاريخ ودمرنا كلمة المنطق ونسفها البارسا من قاموس اللغة سامحوني فقد ابدوي بكلامي كالمجنون ولكنه حقا الجنان ماحدث الليله,ANGER
23249,انا مش متفق معاك بسبب الايموشن ابن الوسخه ده,ANGER
23277,ابن وسخه و يعملها,ANGER
23423,ي عم ده ابن وسخه كل لما يغلبه يطلع من الابطال,ANGER
23758,اسفين يا معرصين,ANGER
24059,متزعلش ي بيبي,SADNESS
